iter	RMSE
0	14.63407454
1	14.30625642
2	13.93666184
3	13.59132955
4	13.23988433
5	12.91448186
6	12.58641183
7	12.27482455
8	11.96613291
9	11.72951359
10	11.48611938
11	11.22407578
12	10.98861832
13	10.74906955
14	10.5137127
15	10.2966066
16	10.0778565
17	9.871922043
18	9.674116607
19	9.479051272
20	9.284361563
21	9.103393897
22	8.93545244
23	8.776455317
24	8.618117837
25	8.472828111
26	8.343615303
27	8.204313769
28	8.075894628
29	7.949702431
30	7.834112297
31	7.713135625
32	7.597990291
33	7.505402983
34	7.4044169
35	7.300918653
36	7.217859941
37	7.130683254
38	7.056305434
39	6.973542577
40	6.898142065
41	6.822113169
42	6.753956921
43	6.691662696
44	6.631113423
45	6.567706192
46	6.508476927
47	6.450276413
48	6.39869144
49	6.344683204
50	6.294798829
51	6.252165654
52	6.209458884
53	6.168106218
54	6.127719766
55	6.087627404
56	6.05126536
57	6.017908643
58	5.98560436
59	5.955449746
60	5.925290785
61	5.894757977
62	5.861579354
63	5.831751609
64	5.806134681
65	5.780676713
66	5.756754598
67	5.72983847
68	5.705921263
69	5.68345746
70	5.657955301
71	5.637924105
72	5.613787772
73	5.5967736
74	5.57715751
75	5.559029143
76	5.543843699
77	5.526467478
78	5.512670715
79	5.495591948
80	5.480111025
81	5.466445659
82	5.453095293
83	5.438797474
84	5.426379329
85	5.412823344
86	5.399347779
87	5.386779495
88	5.375209175
89	5.362762918
90	5.35263556
91	5.340525884
92	5.328762326
93	5.318265329
94	5.308607111
95	5.297097363
96	5.282880174
97	5.274519762
98	5.267496528
99	5.257213383
100	5.249330913
101	5.240238811
102	5.228773691
103	5.219091706
104	5.212529853
105	5.205489339
106	5.196071796
107	5.190878082
108	5.185372217
109	5.17732866
110	5.168592705
111	5.162138561
112	5.156778424
113	5.147800071
114	5.141639299
115	5.131846372
116	5.124306707
117	5.117046068
118	5.109615102
119	5.103040467
120	5.097291247
121	5.091334905
122	5.085198897
123	5.07699369
124	5.07053383
125	5.068344272
126	5.063237809
127	5.054538224
128	5.045785904
129	5.040749001
130	5.037100254
131	5.029085485
132	5.023989971
133	5.017042955
134	5.014523386
135	5.009917353
136	5.002832174
137	5.000740598
138	4.997684537
139	4.993718099
140	4.987701932
141	4.983811009
142	4.980458812
143	4.977285653
144	4.971541102
145	4.96844191
146	4.963593193
147	4.958169675
148	4.954178163
149	4.951608356
150	4.945709478
151	4.941559756
152	4.935616593
153	4.933861282
154	4.931051954
155	4.925256701
156	4.921611169
157	4.915772248
158	4.911252036
159	4.91056816
160	4.905292032
161	4.900007041
162	4.895082652
163	4.887387046
164	4.883092609
165	4.878667964
166	4.874728109
167	4.872872823
168	4.870573863
169	4.868462976
170	4.865761412
171	4.859429199
172	4.856113118
173	4.850629458
174	4.846499498
175	4.845323065
176	4.842137043
177	4.83774405
178	4.834414029
179	4.828605769
180	4.824223207
181	4.822232664
182	4.818398713
183	4.814401654
184	4.810609998
185	4.80827894
186	4.804088713
187	4.799453817
188	4.796469994
189	4.790852416
190	4.786444417
191	4.78236392
192	4.780107397
193	4.77633937
194	4.769789226
195	4.767474679
196	4.765293012
197	4.764262067
198	4.761816304
199	4.760652175
200	4.757660849
201	4.756068679
202	4.753183486
203	4.748875159
204	4.743809812
205	4.738744135
206	4.737634565
207	4.736946883
208	4.734713062
209	4.73119501
210	4.728061786
211	4.724496118
212	4.720116395
213	4.714913091
214	4.712095144
215	4.707933034
216	4.70626154
217	4.70172236
218	4.699419184
219	4.694173098
220	4.691158067
221	4.687627654
222	4.683914196
223	4.679641224
224	4.676864138
225	4.673212583
226	4.666556453
227	4.664355065
228	4.662379104
229	4.661976055
230	4.654712852
231	4.65391464
232	4.652711157
233	4.650845492
234	4.645966327
235	4.642030544
236	4.640609713
237	4.638561158
238	4.632739713
239	4.628971779
240	4.626849626
241	4.624289844
242	4.619407174
243	4.615490613
244	4.6130878
245	4.610718425
246	4.608682454
247	4.605056152
248	4.602257367
249	4.601522467
250	4.599476934
251	4.597188873
252	4.594054234
253	4.591065818
254	4.587990811
255	4.585477894
256	4.583126631
257	4.582178286
258	4.581759819
259	4.578274882
260	4.57742324
261	4.573430535
262	4.571829532
263	4.567629676
264	4.566027739
265	4.56357039
266	4.56121363
267	4.559731252
268	4.55913266
269	4.555353507
270	4.554980908
271	4.554039085
272	4.553173035
273	4.549992231
274	4.547348949
275	4.546874884
276	4.54580276
277	4.543197637
278	4.540445223
279	4.536941544
280	4.532900007
281	4.529454285
282	4.52661118
283	4.521664762
284	4.520855473
285	4.519737198
286	4.516017709
287	4.514497956
288	4.513992171
289	4.507793915
290	4.507281401
291	4.507010038
292	4.499784472
293	4.499544222
294	4.497636587
295	4.49412929
296	4.49010231
297	4.489795162
298	4.489598145
299	4.484036056
300	4.47976797
301	4.477615176
302	4.47533022
303	4.472281963
304	4.467642834
305	4.464567162
306	4.461130608
307	4.454474178
308	4.449168335
309	4.444387108
310	4.441244176
311	4.438731479
312	4.432434078
313	4.430774248
314	4.428542911
315	4.427043674
316	4.424306568
317	4.421517611
318	4.420740983
319	4.418142447
320	4.414563079
321	4.4100818
322	4.405980258
323	4.405064236
324	4.400157049
325	4.395764627
326	4.39274534
327	4.387168217
328	4.386925264
329	4.383290255
330	4.38102205
331	4.376989175
332	4.373035187
333	4.369556141
334	4.366538851
335	4.363399317
336	4.36183678
337	4.360130517
338	4.358489361
339	4.358218585
340	4.355215729
341	4.351548246
342	4.348781909
343	4.346144791
344	4.342909726
345	4.338755069
346	4.334599975
347	4.328786087
348	4.325044849
349	4.321090255
350	4.319782468
351	4.317650817
352	4.313539127
353	4.311244119
354	4.308197194
355	4.307996878
356	4.305856307
357	4.301772341
358	4.297453073
359	4.294651481
360	4.293194413
361	4.291860085
362	4.287648654
363	4.285507846
364	4.283112693
365	4.28236108
366	4.280474555
367	4.277484242
368	4.276368418
369	4.276132132
370	4.271755289
371	4.269184338
372	4.268135309
373	4.263337165
374	4.260036022
375	4.255545212
376	4.253679927
377	4.253167796
378	4.250686665
379	4.248591712
380	4.24343614
381	4.240383479
382	4.237133611
383	4.23465495
384	4.230485035
385	4.230102458
386	4.228053469
387	4.227422905
388	4.223963307
389	4.222134617
390	4.221196933
391	4.218195018
392	4.215800305
393	4.213606511
394	4.210442221
395	4.206527922
396	4.204403583
397	4.202241792
398	4.199802989
399	4.197026604
400	4.19481709
401	4.194495572
402	4.192402979
403	4.189715173
404	4.187253918
405	4.185162973
406	4.180822916
407	4.180578137
408	4.176570721
409	4.170039806
410	4.167078667
411	4.163763017
412	4.162057421
