iter	Passed	Remaining
0	0	265
1	0	246
2	0	238
3	0	233
4	1	238
5	1	234
6	1	230
7	1	228
8	2	227
9	2	225
10	2	226
11	2	226
12	2	225
13	3	225
14	3	224
15	3	224
16	3	222
17	4	221
18	4	220
19	4	219
20	4	217
21	4	215
22	5	216
23	5	215
24	5	215
25	5	214
26	5	214
27	6	213
28	6	213
29	6	212
30	6	211
31	6	210
32	7	211
33	7	210
34	7	210
35	7	209
36	8	208
37	8	208
38	8	207
39	8	208
40	8	207
41	9	207
42	9	207
43	9	207
44	9	206
45	9	206
46	10	206
47	10	206
48	10	205
49	10	205
50	11	204
51	11	204
52	11	204
53	11	204
54	11	205
55	12	205
56	12	205
57	12	205
58	12	205
59	13	205
60	13	205
61	13	205
62	13	205
63	14	205
64	14	204
65	14	204
66	14	204
67	14	203
68	15	203
69	15	203
70	15	203
71	15	203
72	16	203
73	16	202
74	16	202
75	16	202
76	16	202
77	17	201
78	17	201
79	17	200
80	17	200
81	17	200
82	18	199
83	18	199
84	18	198
85	18	198
86	18	197
87	19	197
88	19	197
89	19	197
90	19	197
91	20	197
92	20	197
93	20	197
94	20	196
95	20	196
96	21	196
97	21	195
98	21	195
99	21	195
100	21	194
101	22	194
102	22	194
103	22	193
104	22	193
105	22	193
106	23	193
107	23	192
108	23	192
109	23	192
110	23	192
111	24	192
112	24	191
113	24	191
114	24	191
115	25	191
116	25	190
117	25	190
118	25	190
119	25	190
120	26	189
121	26	189
122	26	189
123	26	189
124	27	189
125	27	188
126	27	188
127	27	187
128	27	187
129	28	187
130	28	187
131	28	187
132	28	187
133	28	187
134	29	186
135	29	186
136	29	185
137	29	185
138	29	185
139	30	185
140	30	185
141	30	184
142	30	184
143	31	184
144	31	184
145	31	184
146	31	183
147	31	183
148	32	183
149	32	183
150	32	183
151	32	183
152	33	183
153	33	182
154	33	182
155	33	182
156	33	181
157	34	181
158	34	181
159	34	180
160	34	180
161	34	180
162	35	180
163	35	180
164	35	179
165	35	179
166	35	179
167	36	179
168	36	178
169	36	178
170	36	178
171	36	178
172	37	177
173	37	177
174	37	177
175	37	176
176	37	176
177	38	176
178	38	176
179	38	176
180	38	175
181	39	175
182	39	175
183	39	175
184	39	174
185	39	174
186	40	174
187	40	174
188	40	173
189	40	173
190	40	173
191	41	173
192	41	172
193	41	172
194	41	172
195	42	172
196	42	172
197	42	171
198	42	171
199	42	171
200	43	171
201	43	170
202	43	170
203	43	170
204	43	170
205	44	170
206	44	169
207	44	169
208	44	169
209	44	169
210	45	168
211	45	168
212	45	168
213	45	168
214	45	167
215	46	167
216	46	167
217	46	167
218	46	166
219	47	166
220	47	166
221	47	166
222	47	165
223	47	165
224	48	165
225	48	165
226	48	164
227	48	164
228	48	164
229	49	164
230	49	163
231	49	163
232	49	163
233	49	163
234	50	162
235	50	162
236	50	162
237	50	162
238	50	162
239	51	161
240	51	161
241	51	161
242	51	161
243	51	160
244	52	160
245	52	160
246	52	160
247	52	160
248	52	159
249	53	159
250	53	159
251	53	159
252	53	158
253	54	158
254	54	158
255	54	158
256	54	158
257	54	157
258	55	157
259	55	157
260	55	157
261	55	156
262	55	156
263	56	156
264	56	156
265	56	156
266	56	155
267	57	155
268	57	155
269	57	155
270	57	155
271	57	154
272	58	154
273	58	154
274	58	154
275	58	154
276	58	153
277	59	153
278	59	153
279	59	153
280	59	153
281	60	152
282	60	152
283	60	152
284	60	152
285	60	152
286	61	152
287	61	151
288	61	151
289	61	151
290	62	151
291	62	151
292	62	150
293	62	150
294	62	150
295	63	150
296	63	150
297	63	149
298	63	149
299	63	149
300	64	149
301	64	148
302	64	148
303	64	148
304	65	148
305	65	148
306	65	147
307	65	147
308	65	147
309	66	147
310	66	146
311	66	146
312	66	146
313	66	146
314	67	146
315	67	145
316	67	145
317	67	145
318	68	145
319	68	145
320	68	144
321	68	144
322	68	144
323	69	144
324	69	144
325	69	143
326	69	143
327	69	143
328	70	143
329	70	142
330	70	142
331	70	142
332	71	142
333	71	142
334	71	141
335	71	141
336	71	141
337	72	141
338	72	141
339	72	140
340	72	140
341	72	140
342	73	140
343	73	139
344	73	139
345	73	139
346	74	139
347	74	139
348	74	138
349	74	138
350	74	138
351	75	138
352	75	138
353	75	137
354	75	137
355	75	137
356	76	137
357	76	136
358	76	136
359	76	136
360	77	136
361	77	136
362	77	135
363	77	135
364	77	135
365	78	135
366	78	134
367	78	134
368	78	134
369	78	134
370	79	134
371	79	133
372	79	133
373	79	133
374	79	133
375	80	133
376	80	132
377	80	132
378	80	132
379	80	132
380	81	131
381	81	131
382	81	131
383	81	131
384	81	130
385	82	130
386	82	130
387	82	130
388	82	130
389	83	129
390	83	129
391	83	129
392	83	129
393	83	129
394	84	128
395	84	128
396	84	128
397	84	128
398	84	127
399	85	127
400	85	127
401	85	127
402	85	127
403	86	127
404	86	126
405	86	126
406	86	126
407	87	126
408	87	126
409	87	125
410	87	125
411	87	125
412	88	125
413	88	125
414	88	124
415	88	124
416	89	124
417	89	124
418	89	124
419	89	123
420	89	123
421	90	123
422	90	123
423	90	123
424	90	122
425	90	122
426	91	122
427	91	122
428	91	121
429	91	121
430	92	121
431	92	121
432	92	121
433	92	120
434	92	120
435	93	120
436	93	120
437	93	120
438	93	119
439	94	119
440	94	119
441	94	119
442	94	119
443	94	118
444	95	118
445	95	118
446	95	118
447	95	117
448	95	117
449	96	117
450	96	117
451	96	117
452	96	116
453	96	116
454	97	116
455	97	116
456	97	116
457	97	115
458	98	115
459	98	115
460	98	115
461	98	114
462	98	114
463	99	114
464	99	114
465	99	113
466	99	113
467	99	113
468	100	113
469	100	113
470	100	112
471	100	112
472	100	112
473	101	112
474	101	111
475	101	111
476	101	111
477	101	111
478	102	111
479	102	110
480	102	110
481	102	110
482	103	110
483	103	110
484	103	109
485	103	109
486	103	109
487	104	109
488	104	108
489	104	108
490	104	108
491	104	108
492	105	108
493	105	107
494	105	107
495	105	107
496	105	107
497	106	107
498	106	106
499	106	106
500	106	106
501	106	106
502	107	105
503	107	105
504	107	105
505	107	105
506	108	105
507	108	104
508	108	104
509	108	104
510	108	104
511	109	104
512	109	103
513	109	103
514	109	103
515	110	103
516	110	102
517	110	102
518	110	102
519	110	102
520	111	102
521	111	101
522	111	101
523	111	101
524	111	101
525	112	101
526	112	100
527	112	100
528	112	100
529	112	100
530	113	99
531	113	99
532	113	99
533	113	99
534	113	99
535	114	98
536	114	98
537	114	98
538	114	98
539	114	97
540	115	97
541	115	97
542	115	97
543	115	97
544	115	96
545	116	96
546	116	96
547	116	96
548	116	95
549	117	95
550	117	95
551	117	95
552	117	95
553	117	94
554	118	94
555	118	94
556	118	94
557	118	94
558	119	93
559	119	93
560	119	93
561	119	93
562	119	93
563	120	92
564	120	92
565	120	92
566	120	92
567	120	91
568	121	91
569	121	91
570	121	91
571	121	91
572	121	90
573	122	90
574	122	90
575	122	90
576	122	90
577	123	89
578	123	89
579	123	89
580	123	89
581	123	88
582	124	88
583	124	88
584	124	88
585	125	88
586	125	88
587	125	88
588	126	88
589	126	87
590	126	87
591	126	87
592	127	87
593	127	87
594	127	86
595	127	86
596	127	86
597	128	86
598	128	85
599	128	85
600	128	85
601	128	85
602	129	84
603	129	84
604	129	84
605	129	84
606	129	84
607	130	83
608	130	83
609	130	83
610	130	83
611	130	83
612	131	82
613	131	82
614	131	82
615	131	82
616	132	81
617	132	81
618	132	81
619	132	81
620	132	81
621	133	80
622	133	80
623	133	80
624	133	80
625	133	80
626	134	79
627	134	79
628	134	79
629	134	79
630	134	78
631	135	78
632	135	78
633	135	78
634	135	78
635	136	77
636	136	77
637	136	77
638	136	77
639	136	77
640	137	76
641	137	76
642	137	76
643	137	76
644	138	75
645	138	75
646	138	75
647	138	75
648	138	75
649	139	74
650	139	74
651	139	74
652	139	74
653	139	74
654	140	73
655	140	73
656	140	73
657	140	73
658	140	72
659	141	72
660	141	72
661	141	72
662	141	72
663	142	71
664	142	71
665	142	71
666	142	71
667	142	71
668	143	70
669	143	70
670	143	70
671	143	70
672	143	69
673	144	69
674	144	69
675	144	69
676	144	69
677	144	68
678	145	68
679	145	68
680	145	68
681	145	67
682	145	67
683	146	67
684	146	67
685	146	67
686	146	66
687	146	66
688	147	66
689	147	66
690	147	66
691	147	65
692	148	65
693	148	65
694	148	65
695	148	64
696	148	64
697	149	64
698	149	64
699	149	64
700	149	63
701	150	63
702	150	63
703	150	63
704	150	63
705	150	62
706	151	62
707	151	62
708	151	62
709	151	61
710	151	61
711	152	61
712	152	61
713	152	61
714	152	60
715	153	60
716	153	60
717	153	60
718	153	60
719	153	59
720	154	59
721	154	59
722	154	59
723	154	59
724	155	58
725	155	58
726	155	58
727	155	58
728	155	57
729	156	57
730	156	57
731	156	57
732	156	57
733	157	56
734	157	56
735	157	56
736	157	56
737	157	56
738	158	55
739	158	55
740	158	55
741	158	55
742	158	54
743	159	54
744	159	54
745	159	54
746	159	54
747	160	53
748	160	53
749	160	53
750	160	53
751	160	53
752	161	52
753	161	52
754	161	52
755	161	52
756	162	52
757	162	51
758	162	51
759	162	51
760	162	51
761	163	50
762	163	50
763	163	50
764	163	50
765	163	50
766	164	49
767	164	49
768	164	49
769	164	49
770	164	48
771	165	48
772	165	48
773	165	48
774	165	48
775	165	47
776	166	47
777	166	47
778	166	47
779	166	47
780	167	46
781	167	46
782	167	46
783	167	46
784	168	46
785	168	45
786	168	45
787	168	45
788	168	45
789	169	44
790	169	44
791	169	44
792	169	44
793	170	44
794	170	43
795	170	43
796	170	43
797	170	43
798	171	43
799	171	42
800	171	42
801	171	42
802	171	42
803	172	41
804	172	41
805	172	41
806	172	41
807	173	41
808	173	40
809	173	40
810	173	40
811	173	40
812	174	40
813	174	39
814	174	39
815	174	39
816	175	39
817	175	38
818	175	38
819	175	38
820	175	38
821	176	38
822	176	37
823	176	37
824	176	37
825	176	37
826	177	37
827	177	36
828	177	36
829	177	36
830	177	36
831	178	35
832	178	35
833	178	35
834	178	35
835	179	35
836	179	34
837	179	34
838	179	34
839	179	34
840	180	34
841	180	33
842	180	33
843	180	33
844	181	33
845	181	32
846	181	32
847	181	32
848	181	32
849	182	32
850	182	31
851	182	31
852	182	31
853	182	31
854	183	31
855	183	30
856	183	30
857	183	30
858	183	30
859	184	29
860	184	29
861	184	29
862	184	29
863	185	29
864	185	28
865	185	28
866	185	28
867	186	28
868	186	28
869	186	27
870	186	27
871	186	27
872	187	27
873	187	27
874	187	26
875	187	26
876	188	26
877	189	26
878	189	26
879	189	25
880	189	25
881	190	25
882	190	25
883	190	24
884	190	24
885	190	24
886	191	24
887	191	24
888	191	23
889	191	23
890	191	23
891	192	23
892	192	23
893	192	22
894	192	22
895	192	22
896	193	22
897	193	21
898	193	21
899	193	21
900	193	21
901	194	21
902	194	20
903	194	20
904	194	20
905	194	20
906	195	20
907	195	19
908	195	19
909	195	19
910	196	19
911	196	18
912	196	18
913	196	18
914	197	18
915	197	18
916	197	17
917	197	17
918	197	17
919	198	17
920	198	17
921	198	16
922	198	16
923	199	16
924	199	16
925	199	15
926	199	15
927	199	15
928	200	15
929	200	15
930	200	14
931	200	14
932	201	14
933	201	14
934	201	14
935	201	13
936	201	13
937	202	13
938	202	13
939	202	12
940	202	12
941	203	12
942	203	12
943	203	12
944	203	11
945	203	11
946	204	11
947	204	11
948	204	10
949	204	10
950	204	10
951	205	10
952	205	10
953	205	9
954	205	9
955	206	9
956	206	9
957	206	9
958	206	8
959	207	8
960	207	8
961	207	8
962	207	7
963	207	7
964	208	7
965	208	7
966	208	7
967	208	6
968	208	6
969	209	6
970	209	6
971	209	6
972	209	5
973	210	5
974	210	5
975	210	5
976	210	4
977	210	4
978	211	4
979	211	4
980	211	4
981	211	3
982	211	3
983	212	3
984	212	3
985	212	3
986	212	2
987	212	2
988	213	2
989	213	2
990	213	1
991	213	1
992	214	1
993	214	1
994	214	1
995	214	0
996	214	0
997	215	0
998	215	0
999	215	0
